pregunta;descripcionpregunta;valorpregunta;descripcionvalorpregunta
P_43;¬øQuien medio de transporte utiliza predominantemente para dirigirse a su centro educativo?;7;Transporte Privado
P_43;¬øQuien medio de transporte utiliza predominantemente para dirigirse a su centro educativo?;8;Metro/Cable
P_43;¬øQuien medio de transporte utiliza predominantemente para dirigirse a su centro educativo?;9;Sistema integrado de transporte (SIT).
P_43;¬øQuien medio de transporte utiliza predominantemente para dirigirse a su centro educativo?;10;Caballo (bestia)
P_43;¬øQuien medio de transporte utiliza predominantemente para dirigirse a su centro educativo?;11;Lancha, Canoa, Bote
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;-99;No responde
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;-98;No sabe
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;-88;No aplica
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;1;De 0 a 20 minutos
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;2;De 21 a 40 minutos
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;3;De 41 a 60 minutos
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;4;De 61 a 80 minutos
P_44;¬øCuanto tiempo tarda en llegar a su centro educativo?;5;Mi°s de 81 minutos
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);-99;No responde
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);-98;No sabe
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);0;Ninguno
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);1;Salacuna, Guarderia, Preescolar
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);2;Primaria
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);3;Secundaria
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);4;Media academica o Normalista
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);5;Media Tecnica
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);6;Tecnologico
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);7;Universidad
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);8;Especializacion
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);9;Maestria
P_45;ultimo nivel de estudio aprobado (Ti≠tulo);10;Doctorado
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;-99;No responde
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;-98;No sabe
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;-88;No aplica
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;1;Agronomia, Veterinaria y afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;2;Bellas Artes
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;3;Ciencias de la Educacion
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;4;Ciencias de la Salud
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;5;Ciencias Sociales, Derecho, Ciencias Poli≠ticas
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;6;Economia, Administracion, Contaduria y afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;7;Humanidades y Ciencias Religiosas
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;8;Ingenieria de Sistemas, Telecomunicaciones o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;9;Ingenieria Industrial o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;10;Ingenieria Electronica, Electrica o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;11;Ingenieria Meci°nica o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;12;Ingenieria Ambiental o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;13;Ingenieria Qui≠mica o afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;14;Ingenieria Civil , Arquitectura, Urbanismo y afines
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;15;Matematicas y Ciencias Naturales
P_48;iÅrea del conocimiento en la que obtuvo el ti≠tulo;16;Otras
P_49;El cari°cter del ESTABLECIMIENTO EDUCATIVO (escuela, colegio, universidad u otra institucion) en donde estudia o estudio el ultimo curso o grado, es:;-99;No responde
P_49;El cari°cter del ESTABLECIMIENTO EDUCATIVO (escuela, colegio, universidad u otra institucion) en donde estudia o estudio el ultimo curso o grado, es:;-98;No sabe
P_49;El cari°cter del ESTABLECIMIENTO EDUCATIVO (escuela, colegio, universidad u otra institucion) en donde estudia o estudio el ultimo curso o grado, es:;-88;No aplica
P_49;El cari°cter del ESTABLECIMIENTO EDUCATIVO (escuela, colegio, universidad u otra institucion) en donde estudia o estudio el ultimo curso o grado, es:;1;Pi∫blico
P_49;El cari°cter del ESTABLECIMIENTO EDUCATIVO (escuela, colegio, universidad u otra institucion) en donde estudia o estudio el ultimo curso o grado, es:;2;Privado
P_205;¬øCuantos de los siguientes servicios o bienes, en funcionamiento, posee este hogar? Computador de escritorio o portatil para uso del HOGAR;NULL;NULL
P_262;La educacion brindada en los colegios y escuelas de su barrio, comuna vereda o corregimiento ha:;-99;No responde
P_262;La educacion brindada en los colegios y escuelas de su barrio, comuna vereda o corregimiento ha:;-98;No sabe
P_262;La educacion brindada en los colegios y escuelas de su barrio, comuna vereda o corregimiento ha:;1;Mejorado
P_262;La educacion brindada en los colegios y escuelas de su barrio, comuna vereda o corregimiento ha:;2;Igual
P_262;La educacion brindada en los colegios y escuelas de su barrio, comuna vereda o corregimiento ha:;3;Empeorado
P_264;¬øCree Usted que en los ultimos 12 meses, en su municipio, la situacion de: la educacion;-99;No responde
P_264;¬øCree Usted que en los ultimos 12 meses, en su municipio, la situacion de: la educacion;-98;No sabe
P_264;¬øCree Usted que en los ultimos 12 meses, en su municipio, la situacion de: la educacion;1;Mejorado
P_264;¬øCree Usted que en los ultimos 12 meses, en su municipio, la situacion de: la educacion;2;Igual
P_264;¬øCree Usted que en los ultimos 12 meses, en su municipio, la situacion de: la educacion;3;Empeorado
